Country;IDCountry;populationGroup;IDpopulationGroup;CategoryLevel;Category1;IDCategory1;Category2;IDCategory2;avg_consume [grams/day/person];avg_consume [grams/kg body weight]
Germany;56;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;508,765;12,967
Sweden;193;Very_elderly;13;1;Water and water based drinks;10489266;NULL;NULL;506,339;6,961
Bulgaria;24;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;505,192;8,103
Ireland;101;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;504,141;6,684
Romania;185;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;502,733;10,766
Poland;175;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;501,727;6,531
Germany;56;Elderly;12;2;Alcoholic beverages;10489503;Beer;10489514;500,691;6,138
Romania;185;Adolescents;7;2;Alcoholic beverages;10489503;Beer;10489514;500;6,736
Netherlands;162;Adults;10;2;Water and water based drinks;10489266;Water based beverages;10490622;499,229;6,672
United Kingdom;77;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;498,149;9,435
Latvia;132;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;497,299;6,682
Netherlands;162;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;496,561;9,457
Estonia;63;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;491,734;12,885
United Kingdom;77;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;488,277;6,221
Poland;175;Elderly;12;2;Alcoholic beverages;10489503;Beer;10489514;484,545;6,353
Slovenia;196;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;483,424;6,731
Ireland;101;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;481,319;6,77
Netherlands;162;Adults;10;2;Water and water based drinks;10489266;Water based beverages;10490622;480,736;6,277
Romania;185;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;476,857;6,672
Bulgaria;24;Adolescents;7;1;Alcoholic beverages;10489503;NULL;NULL;476,834;7,909
Belgium;22;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;476,162;6,373
United Kingdom;77;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;475,984;6,121
Germany;56;Adults;10;2;Water and water based drinks;10489266;Beverages Concentrates;10490623;475;6,419
Belgium;22;Adults;10;2;Water and water based drinks;10489266;Water based beverages;10490622;474,315;6,902
Sweden;193;Very_elderly;13;2;Water and water based drinks;10489266;Drinking water;10489267;469,849;6,47
Netherlands;162;Very_elderly;13;2;Water and water based drinks;10489266;Drinking water;10489267;469,575;6,365
Finland;70;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;464,962;5,861
Latvia;132;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;464,679;6,255
Estonia;63;Adolescents;7;1;Alcoholic beverages;10489503;NULL;NULL;461,923;7,524
Netherlands;162;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;455,934;5,683
Latvia;132;Elderly;12;2;Alcoholic beverages;10489503;Beer;10489514;451,176;5,52
Finland;70;Elderly;12;2;Fish and Seafood;10488027;Seafood;10488341;450;6,696
Slovenia;196;Adults;10;2;Water and water based drinks;10489266;Water based beverages;10490622;448,958;5,992
Ireland;101;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;448,183;6,136
Ireland;101;Very_elderly;13;1;Water and water based drinks;10489266;NULL;NULL;444,263;6,405
Austria;14;Adults;10;2;Water and water based drinks;10489266;Water based beverages;10490622;443,565;6,278
Germany;56;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;442,41;5,593
Latvia;132;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;440,324;5,52
Germany;56;Adults;10;2;Water and water based drinks;10489266;Water based beverages;10490622;437,27;5,699
Sweden;193;Adolescents;7;1;Water and water based drinks;10489266;NULL;NULL;435,962;10,45
Austria;14;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;435,051;6,506
Bulgaria;24;Adults;10;2;Water and water based drinks;10489266;Drinking water;10489267;433,597;6,439
Ireland;101;Very_elderly;13;2;Water and water based drinks;10489266;Drinking water;10489267;433,399;6,237
Bulgaria;24;Adults;10;1;Water and water based drinks;10489266;NULL;NULL;431,686;6,311
Italy;108;Infants;1;1;Water and water based drinks;10489266;NULL;NULL;428,623;64,179
Italy;108;Infants;1;2;Water and water based drinks;10489266;Drinking water;10489267;428,623;64,179
Finland;70;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;427,438;5,255
Bulgaria;24;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;426,058;5,82
Germany;56;Adolescents;7;2;Water and water based drinks;10489266;Water based beverages;10490622;420,45;6,793
Estonia;63;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;420,26;5,213
Netherlands;162;Elderly;12;2;Alcoholic beverages;10489503;Beer;10489514;420;4,998
Bulgaria;24;Adults;10;1;Alcoholic beverages;10489503;NULL;NULL;417,041;5,608
Latvia;132;Adults;10;2;Alcoholic beverages;10489503;Beer;10489514;416,649;4,987
Germany;56;Elderly;12;1;Alcoholic beverages;10489503;NULL;NULL;416,295;5,169
Latvia;132;Elderly;12;2;Water and water based drinks;10489266;Drinking water;10489267;415,738;5,221
Netherlands;162;Adolescents;7;1;Alcoholic beverages;10489503;NULL;NULL;415,232;6,001
Denmark;58;Very_elderly;13;1;Alcoholic beverages;10489503;NULL;NULL;414,487;5,65
Estonia;63;Adolescents;7;2;Alcoholic beverages;10489503;Beer;10489514;413,889;7,461
Romania;185;Elderly;12;1;Water and water based drinks;10489266;NULL;NULL;410,975;5,656
